t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,efficacite_globale,efficacite_locale,scenario
69,70,1551,19.457142857142856,1.0,2.2616977225672876,0.7026562164605958,0.5651661244207841,0.8326577355912347,panne_previsible
70,70,1552,19.514285714285716,1.0,2.25879917184265,0.7035660854475572,0.5657596371882103,0.8331467772948509,panne_previsible
71,70,1555,19.542857142857144,1.0,2.253830227743271,0.7032531294230173,0.566587794538107,0.8331683377175307,panne_previsible
72,70,1556,19.6,1.0,2.250103519668737,0.7032503877757694,0.5674504584442495,0.8331825046311195,panne_previsible
73,70,1555,19.65714285714286,1.0,2.2476190476190476,0.7042089596171743,0.5680715764566718,0.833752561333069,panne_previsible
74,70,1561,19.771428571428572,1.0,2.239751552795031,0.7039557546174836,0.5697278911564645,0.833736943313855,panne_previsible
75,70,1565,19.8,1.0,2.2372670807453416,0.7037329896562847,0.5702109829439042,0.8336111630307091,panne_previsible
76,70,1559,19.771428571428572,1.0,2.2525879917184266,0.7051317945712245,0.5682717144828968,0.8343225160997938,panne_previsible
77,70,1559,19.8,1.0,2.250517598343685,0.7053883699219958,0.5687202997140907,0.8345145628340349,panne_previsible
78,70,1550,19.65714285714286,1.0,2.250517598343685,0.7014776965196494,0.5679611554766857,0.8325004688696579,panne_previsible
79,70,1547,19.62857142857143,1.0,2.2496894409937886,0.7122940655184027,0.5678300305629523,0.8463210086091706,panne_previsible
80,70,1547,19.62857142857143,1.0,2.25175983436853,0.7128441121794815,0.5676022872917307,0.846584405195164,panne_previsible
81,70,1546,19.6,1.0,2.252173913043478,0.7126325272106901,0.5673952479542566,0.8465131724728437,panne_previsible
82,70,1546,19.62857142857143,1.0,2.25175983436853,0.7134857365123832,0.5676022872917307,0.846943899984956,panne_previsible
83,70,1549,19.685714285714287,1.0,2.252173913043478,0.7155403061412285,0.5679128462979418,0.8480802244738962,panne_previsible
84,70,1548,19.742857142857144,1.0,2.250103519668737,0.7151543202252305,0.5685477669328624,0.8479769501426105,panne_previsible
85,70,1552,19.82857142857143,1.0,2.248861283643892,0.7156372758757493,0.5691688849452845,0.8482433287614852,panne_previsible
86,70,1553,19.885714285714286,1.0,2.2476190476190476,0.7153605122915899,0.569651976732724,0.8481293954652531,panne_previsible
87,70,1556,19.885714285714286,1.0,2.247204968944099,0.7156980359853046,0.5697209898452155,0.8482570212217209,panne_previsible
88,70,1557,19.914285714285715,1.0,2.2459627329192546,0.7165028426049489,0.5700660554076723,0.8486507978924814,panne_previsible
89,70,1557,19.914285714285715,1.0,2.2459627329192546,0.7165028426049489,0.5700660554076723,0.8486507978924814,panne_previsible
90,70,1558,19.97142857142857,1.0,2.2376811594202897,0.7154079327109889,0.5713980084787557,0.8480312012939911,panne_previsible
91,70,1557,19.942857142857143,1.0,2.2389233954451346,0.7171317822755731,0.5710874494725445,0.8489923428000848,panne_previsible
92,70,1561,20.0,1.0,2.2480331262939957,0.716624875935937,0.5705077393276168,0.8486732366811554,panne_previsible
93,70,1564,20.142857142857142,1.0,2.2356107660455486,0.7179574907522549,0.5729093956423169,0.8493781329846337,panne_previsible
94,70,1565,20.114285714285714,1.0,2.238095238095238,0.7147944954924367,0.5725298235236143,0.8479019389775336,panne_previsible
95,70,1570,20.2,1.0,2.236438923395445,0.7159425464542485,0.573219954648528,0.8485341539660106,panne_previsible
96,70,1572,20.228571428571428,0.9857142857142858,2.1909633418584824,0.7170047617265286,0.5648792270531426,0.8499110620305842,panne_previsible
97,70,1573,20.2,0.9857142857142858,2.1965046888320545,0.7183830484746994,0.5641131815044884,0.8505598499295859,panne_previsible
98,70,1572,20.228571428571428,0.9857142857142858,2.195225916453538,0.7186260494838291,0.564458247066945,0.8506764113465051,panne_previsible
99,70,1574,20.257142857142856,0.9857142857142858,2.1935208866155156,0.7177503950235599,0.564803312629402,0.8501277066812861,panne_previsible
0,100,1958,39.16,1.0,1.881010101010101,0.7505135935947181,0.6584867724867587,0.8687513529490257,panne_aleatoire
1,100,1952,39.04,1.0,1.8822222222222222,0.7499900127200738,0.657863876863863,0.8684890400441826,panne_aleatoire
2,99,1951,38.58585858585859,1.0,1.8866213151927438,0.7495521254478743,0.6570314417253066,0.8681929071485468,panne_aleatoire
3,98,1953,38.06122448979592,1.0,1.8910162002945508,0.7487158917131754,0.6559736707643161,0.8677168801018135,panne_aleatoire
4,97,1955,37.58762886597938,1.0,1.8954037800687284,0.7480542172442307,0.6550457167402919,0.8674041087927231,panne_aleatoire
5,96,1958,37.958333333333336,1.0,1.8701754385964913,0.7393282564883114,0.6613653926482754,0.8554417860982563,panne_aleatoire
